DESCRICAO                                     GAMA   UN |     MAT  D%  +DESP  +MARG  =MAT.C |     MO  +DERR  +LUCR   =MO.C |    FINAL
MOVEIS COZINHA PREMIUM                     premium   ml |  650.00  0%   0.00 227.50  877.50 |  80.00  12.00  32.20  124.20 |  1001.70

MOVEL WC                                         -   un |  450.00  0%   0.00 157.50  607.50 | 110.00  16.50  44.27  170.78 |   778.27

Placa OSB 9-22MM Resistente à Humidade LS     base   m2 |    7.59  8%   0.61   2.87   11.07 |   8.00   1.20   3.22   12.42 |    23.49
Placa OSB3 12mm (2500x1250)                   base   m2 |    8.50  8%   0.68   3.21   12.39 |   8.00   1.20   3.22   12.42 |    24.81
Placa OSB 9-30MM Resistente à Humidade LS    media   m2 |   11.84  8%   0.95   4.48   17.26 |   8.00   1.20   3.22   12.42 |    29.68
Placa OSB 9-22MM Resistente à Humidade LS    media   m2 |   11.84  8%   0.95   4.48   17.26 |   8.00   1.20   3.22   12.42 |    29.68
Placa OSB3 18mm (2500x1250)                  media   m2 |   12.00  8%   0.96   4.54   17.50 |   8.00   1.20   3.22   12.42 |    29.92
Placa osb3 9mm 2500x1250mm bb&f              media   m2 |   15.99  8%   1.28   6.04   23.31 |   8.00   1.20   3.22   12.42 |    35.73
Placa 12mm 2500x1250 OSB3                  premium   m2 |   21.89  8%   1.75   8.27   31.92 |   8.00   1.20   3.22   12.42 |    44.34
Placa OSB3 2500X1250x12 mm amarelo BB&F    premium   m2 |   21.89  8%   1.75   8.27   31.92 |   8.00   1.20   3.22   12.42 |    44.34

Painel sandwich 50mm (cobertura)                 -   m2 |   28.00  5%   1.40  10.29   39.69 |  15.00   2.25   6.04   23.29 |    62.98

Painel sandwich 80mm (cobertura)                 -   m2 |   35.00  5%   1.75  12.86   49.61 |  15.00   2.25   6.04   23.29 |    72.90

PAINEL SOLAR TERMICO                             -   un | 2200.00  0%   0.00 770.00 2970.00 | 500.00  75.00 201.25  776.25 |  3746.25

PAVIMENTO CERAMICO BASICO                     base   m² |   35.00 10%   3.50  13.47   51.98 |  13.00   1.95   5.23   20.18 |    72.16
PAVIMENTO CERAMICO MEDIO                     media   m² |   50.00 10%   5.00  19.25   74.25 |  13.00   1.95   5.23   20.18 |    94.43
PAVIMENTO CERAMICO PREMIUM                 premium   m² |   80.00 10%   8.00  30.80  118.80 |  13.00   1.95   5.23   20.18 |   138.98

PAVIMENTO EXTERIOR CERAMICO                  media   m² |   45.00  0%   0.00  15.75   60.75 |  13.00   1.95   5.23   20.18 |    80.93

Pavimento flutuante laminado AC4 8mm          base   m2 |   14.00  8%   1.12   5.29   20.41 |  11.00   1.65   4.43   17.08 |    37.49
PAVIMENTO MADEIRA FLUTUANTE                  media   m² |   45.00  8%   3.60  17.01   65.61 |  11.00   1.65   4.43   17.08 |    82.69
PAVIMENTO MADEIRA MACICA                   premium   m² |   95.00  8%   7.60  35.91  138.51 |  11.00   1.65   4.43   17.08 |   155.59

